2020-07-16 13:21:31 --> appraisal_individual_planning --> insert --> notes -->  --> sdfg
2020-07-16 13:22:26 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> 20
2020-07-16 13:22:26 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> mea
2020-07-16 13:22:26 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> mea1
2020-07-16 13:22:26 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> approver naisa added this
2020-07-16 13:22:27 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> 10
2020-07-16 13:22:27 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> 5
2020-07-16 13:22:27 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> 5
2020-07-16 13:22:27 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> 100
2020-07-16 13:22:27 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> 100
2020-07-16 13:22:27 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> 100
2020-07-16 13:22:27 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> re
2020-07-16 13:22:27 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> b
2020-07-16 13:22:27 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> please change target
2020-07-16 13:22:27 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> 20
2020-07-16 13:22:27 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> mea
2020-07-16 13:22:27 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> 
2020-07-16 13:22:27 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> 10
2020-07-16 13:22:27 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> 10
2020-07-16 13:22:27 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> 150
2020-07-16 13:22:27 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> 150
2020-07-16 13:22:27 --> appraisal_individual_planning --> insert --> performance_planning_applicable -->  --> re
