2020-07-28 09:53:27 --> authentication --> logout --> logout -->  --> 
2020-07-28 09:53:38 --> authentication --> login --> login -->  --> 
2020-07-28 13:13:18 --> appraisal_template --> insert --> template -->  --> test
2020-07-28 13:13:18 --> appraisal_template --> insert --> applicable_to_id -->  --> 0
2020-07-28 13:13:18 --> appraisal_template --> insert --> company_id -->  --> 2
2020-07-28 13:13:18 --> appraisal_template --> insert --> position_classification_id -->  --> 3
2020-07-28 13:13:18 --> appraisal_template --> insert --> job_grade_id -->  --> 9
2020-07-28 13:13:18 --> appraisal_template --> insert --> employment_status_id -->  --> 13,1
2020-07-28 13:13:18 --> appraisal_template --> insert --> description -->  --> test
2020-07-28 13:13:18 --> appraisal_template --> insert --> set_crowdsource_by -->  --> Appraiser
2020-07-28 13:13:18 --> appraisal_template --> insert --> status_id -->  --> 0
2020-07-28 13:13:18 --> appraisal_template --> insert --> can_delete -->  --> 1
2020-07-28 13:13:18 --> appraisal_template --> insert --> deleted -->  --> 0
2020-07-28 13:13:18 --> appraisal_template --> insert --> max_crowdsource -->  --> 2
2020-07-28 13:13:18 --> appraisal_template --> insert --> template_id -->  --> 3
2020-07-28 13:13:18 --> appraisal_template --> insert --> parent_id -->  --> 0
2020-07-28 13:13:18 --> appraisal_template --> insert --> template_section -->  --> Performance Evaluation and Development Plan
2020-07-28 13:13:18 --> appraisal_template --> insert --> sequence -->  --> 1
2020-07-28 13:13:18 --> appraisal_template --> insert --> weight -->  --> 0.00
2020-07-28 13:13:18 --> appraisal_template --> insert --> section_type_id -->  --> 1
2020-07-28 13:13:18 --> appraisal_template --> insert --> is_core -->  --> 0
2020-07-28 13:13:19 --> appraisal_template --> insert --> status_id -->  --> 0
2020-07-28 13:13:19 --> appraisal_template --> insert --> can_delete -->  --> 1
2020-07-28 13:13:19 --> appraisal_template --> insert --> min_crowdsource -->  --> 0
2020-07-28 13:13:19 --> appraisal_template --> insert --> deleted -->  --> 0
2020-07-28 13:13:19 --> appraisal_template --> insert --> performance_template_section --> Array --> 
2020-07-28 13:13:19 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:13:19 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:13:19 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:13:19 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:13:19 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:13:19 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:13:19 --> appraisal_template --> insert --> performance_template_section --> Array --> 
2020-07-28 13:13:19 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:13:19 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:13:20 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:13:20 --> appraisal_template --> insert --> performance_template_section --> Array --> 
2020-07-28 13:13:20 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:13:20 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:13:20 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:13:20 --> appraisal_template --> insert --> performance_template_section --> Array --> 
2020-07-28 13:13:20 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:13:20 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:13:20 --> appraisal_template --> insert --> performance_template_section_column --> Array --> 
2020-07-28 13:18:07 --> appraisal_template --> insert --> template -->  --> Officer Level 6
2020-07-28 13:18:07 --> appraisal_template --> insert --> applicable_to_id -->  --> 0
2020-07-28 13:18:07 --> appraisal_template --> insert --> company_id -->  --> 2
2020-07-28 13:18:07 --> appraisal_template --> insert --> position_classification_id -->  --> 3
2020-07-28 13:18:07 --> appraisal_template --> insert --> job_grade_id -->  --> 9
2020-07-28 13:18:07 --> appraisal_template --> insert --> employment_status_id -->  --> 13,1
2020-07-28 13:18:07 --> appraisal_template --> insert --> description -->  --> test
2020-07-28 13:18:07 --> appraisal_template --> insert --> set_crowdsource_by -->  --> Appraiser
2020-07-28 13:18:07 --> appraisal_template --> insert --> status_id -->  --> 0
2020-07-28 13:18:07 --> appraisal_template --> insert --> can_delete -->  --> 1
2020-07-28 13:18:07 --> appraisal_template --> insert --> deleted -->  --> 0
2020-07-28 13:18:07 --> appraisal_template --> insert --> max_crowdsource -->  --> 2
2020-07-28 13:18:08 --> appraisal_template --> insert --> template_id -->  --> 4
2020-07-28 13:18:08 --> appraisal_template --> insert --> parent_id -->  --> 0
2020-07-28 13:18:08 --> appraisal_template --> insert --> template_section -->  --> Performance Evaluation and Development Plan
2020-07-28 13:18:08 --> appraisal_template --> insert --> sequence -->  --> 1
