2020-07-31 13:43:47 --> recurring_transaction --> insert --> document_no -->  --> 20180501
2020-07-31 13:43:48 --> recurring_transaction --> insert --> transaction_id -->  --> 232
2020-07-31 13:43:48 --> recurring_transaction --> insert --> date_from -->  --> 2020-07-01
2020-07-31 13:43:48 --> recurring_transaction --> insert --> date_to -->  --> 1970-01-01
2020-07-31 13:43:48 --> recurring_transaction --> insert --> transaction_method_id -->  --> 3
2020-07-31 13:43:48 --> recurring_transaction --> insert --> account_id -->  --> 16
2020-07-31 13:43:48 --> recurring_transaction --> insert --> week -->  --> 2
2020-07-31 13:43:48 --> recurring_transaction --> insert --> amount -->  --> É—úŠç}‹F‡*´Ú™}¨
2020-07-31 14:56:53 --> recurring_transaction --> insert --> document_no -->  --> asdf
2020-07-31 14:56:53 --> recurring_transaction --> insert --> transaction_id -->  --> 232
2020-07-31 14:56:53 --> recurring_transaction --> insert --> date_from -->  --> 2020-08-01
2020-07-31 14:56:53 --> recurring_transaction --> insert --> date_to -->  --> 2020-09-30
2020-07-31 14:56:53 --> recurring_transaction --> insert --> transaction_method_id -->  --> 3
2020-07-31 14:56:53 --> recurring_transaction --> insert --> account_id -->  --> 16
2020-07-31 14:56:53 --> recurring_transaction --> insert --> week -->  --> 2
2020-07-31 14:56:53 --> recurring_transaction --> insert --> amount -->  --> É—úŠç}‹F‡*´Ú™}¨
2020-07-31 15:12:01 --> recurring_transaction --> insert --> document_no -->  --> sdfg
2020-07-31 15:12:01 --> recurring_transaction --> insert --> transaction_id -->  --> 232
2020-07-31 15:12:01 --> recurring_transaction --> insert --> date_from -->  --> 2020-08-01
2020-07-31 15:12:01 --> recurring_transaction --> insert --> date_to -->  --> 2020-08-01
2020-07-31 15:12:02 --> recurring_transaction --> insert --> transaction_method_id -->  --> 3
2020-07-31 15:12:02 --> recurring_transaction --> insert --> account_id -->  --> 6
2020-07-31 15:12:02 --> recurring_transaction --> insert --> amount -->  --> ‰‘œ."ì-Ìµƒ.„ÓñE
2020-07-31 15:13:59 --> recurring_transaction --> insert --> document_no -->  --> sdfg
2020-07-31 15:13:59 --> recurring_transaction --> insert --> transaction_id -->  --> 232
2020-07-31 15:13:59 --> recurring_transaction --> insert --> date_from -->  --> 2020-08-01
2020-07-31 15:13:59 --> recurring_transaction --> insert --> date_to -->  --> 2020-08-01
2020-07-31 15:13:59 --> recurring_transaction --> insert --> transaction_method_id -->  --> 3
2020-07-31 15:13:59 --> recurring_transaction --> insert --> account_id -->  --> 6
2020-07-31 15:13:59 --> recurring_transaction --> insert --> amount -->  --> ‰‘œ."ì-Ìµƒ.„ÓñE
2020-07-31 15:15:11 --> recurring_transaction --> insert --> document_no -->  --> sdfg
2020-07-31 15:15:11 --> recurring_transaction --> insert --> transaction_id -->  --> 232
2020-07-31 15:15:12 --> recurring_transaction --> insert --> date_from -->  --> 2020-08-01
2020-07-31 15:15:12 --> recurring_transaction --> insert --> date_to -->  --> 2020-08-01
2020-07-31 15:15:12 --> recurring_transaction --> insert --> transaction_method_id -->  --> 3
2020-07-31 15:15:12 --> recurring_transaction --> insert --> account_id -->  --> 6
2020-07-31 15:15:12 --> recurring_transaction --> insert --> amount -->  --> ‰‘œ."ì-Ìµƒ.„ÓñE
2020-07-31 15:16:54 --> recurring_transaction --> insert --> document_no -->  --> sdfg
2020-07-31 15:16:54 --> recurring_transaction --> insert --> transaction_id -->  --> 232
2020-07-31 15:16:54 --> recurring_transaction --> insert --> date_from -->  --> 2020-08-01
2020-07-31 15:16:54 --> recurring_transaction --> insert --> date_to -->  --> 2020-08-01
2020-07-31 15:16:54 --> recurring_transaction --> insert --> transaction_method_id -->  --> 3
2020-07-31 15:16:54 --> recurring_transaction --> insert --> account_id -->  --> 6
2020-07-31 15:16:55 --> recurring_transaction --> insert --> amount -->  --> ‰‘œ."ì-Ìµƒ.„ÓñE
2020-07-31 15:17:06 --> recurring_transaction --> insert --> document_no -->  --> sdfg
2020-07-31 15:17:06 --> recurring_transaction --> insert --> transaction_id -->  --> 232
2020-07-31 15:17:06 --> recurring_transaction --> insert --> date_from -->  --> 2020-08-01
2020-07-31 15:17:06 --> recurring_transaction --> insert --> date_to -->  --> 2020-08-01
2020-07-31 15:17:06 --> recurring_transaction --> insert --> transaction_method_id -->  --> 3
2020-07-31 15:17:06 --> recurring_transaction --> insert --> account_id -->  --> 6
2020-07-31 15:17:06 --> recurring_transaction --> insert --> amount -->  --> ‰‘œ."ì-Ìµƒ.„ÓñE
2020-07-31 15:17:22 --> recurring_transaction --> insert --> document_no -->  --> sdfg
2020-07-31 15:17:22 --> recurring_transaction --> insert --> transaction_id -->  --> 232
2020-07-31 15:17:22 --> recurring_transaction --> insert --> date_from -->  --> 2020-08-01
2020-07-31 15:17:22 --> recurring_transaction --> insert --> date_to -->  --> 2020-08-01
2020-07-31 15:17:22 --> recurring_transaction --> insert --> transaction_method_id -->  --> 3
2020-07-31 15:17:22 --> recurring_transaction --> insert --> account_id -->  --> 6
2020-07-31 15:17:22 --> recurring_transaction --> insert --> amount -->  --> ‰‘œ."ì-Ìµƒ.„ÓñE
2020-07-31 15:17:51 --> recurring_transaction --> insert --> document_no -->  --> sdfg
2020-07-31 15:17:51 --> recurring_transaction --> insert --> transaction_id -->  --> 232
2020-07-31 15:17:51 --> recurring_transaction --> insert --> date_from -->  --> 2020-08-01
2020-07-31 15:17:51 --> recurring_transaction --> insert --> date_to -->  --> 2020-08-01
2020-07-31 15:17:51 --> recurring_transaction --> insert --> transaction_method_id -->  --> 3
2020-07-31 15:17:51 --> recurring_transaction --> insert --> account_id -->  --> 6
2020-07-31 15:17:51 --> recurring_transaction --> insert --> amount -->  --> ‰‘œ."ì-Ìµƒ.„ÓñE
2020-07-31 15:20:34 --> recurring_transaction --> insert --> document_no -->  --> sdfg
2020-07-31 15:20:34 --> recurring_transaction --> insert --> transaction_id -->  --> 232
2020-07-31 15:20:34 --> recurring_transaction --> insert --> date_from -->  --> 2020-08-01
2020-07-31 15:20:34 --> recurring_transaction --> insert --> date_to -->  --> 2020-08-01
2020-07-31 15:20:34 --> recurring_transaction --> insert --> transaction_method_id -->  --> 3
2020-07-31 15:20:34 --> recurring_transaction --> insert --> account_id -->  --> 6
2020-07-31 15:20:34 --> recurring_transaction --> insert --> amount -->  --> ‰‘œ."ì-Ìµƒ.„ÓñE
2020-07-31 15:25:49 --> recurring_transaction --> insert --> document_no -->  --> sdfg
2020-07-31 15:25:49 --> recurring_transaction --> insert --> transaction_id -->  --> 232
2020-07-31 15:25:49 --> recurring_transaction --> insert --> date_from -->  --> 2020-08-01
2020-07-31 15:25:49 --> recurring_transaction --> insert --> date_to -->  --> 2020-08-01
2020-07-31 15:25:49 --> recurring_transaction --> insert --> transaction_method_id -->  --> 3
2020-07-31 15:25:49 --> recurring_transaction --> insert --> account_id -->  --> 6
2020-07-31 15:25:49 --> recurring_transaction --> insert --> amount -->  --> ‰‘œ."ì-Ìµƒ.„ÓñE
2020-07-31 15:26:35 --> recurring_transaction --> insert --> document_no -->  --> sdfg
2020-07-31 15:26:35 --> recurring_transaction --> insert --> transaction_id -->  --> 232
2020-07-31 15:26:35 --> recurring_transaction --> insert --> date_from -->  --> 2020-08-01
2020-07-31 15:26:35 --> recurring_transaction --> insert --> date_to -->  --> 2020-08-01
2020-07-31 15:26:35 --> recurring_transaction --> insert --> transaction_method_id -->  --> 3
2020-07-31 15:26:35 --> recurring_transaction --> insert --> account_id -->  --> 6
2020-07-31 15:26:35 --> recurring_transaction --> insert --> amount -->  --> ‰‘œ."ì-Ìµƒ.„ÓñE
2020-07-31 15:27:02 --> recurring_transaction --> insert --> document_no -->  --> sdfg
2020-07-31 15:27:02 --> recurring_transaction --> insert --> transaction_id -->  --> 232
2020-07-31 15:27:02 --> recurring_transaction --> insert --> date_from -->  --> 2020-08-01
2020-07-31 15:27:02 --> recurring_transaction --> insert --> date_to -->  --> 2020-08-01
2020-07-31 15:27:02 --> recurring_transaction --> insert --> transaction_method_id -->  --> 3
2020-07-31 15:27:02 --> recurring_transaction --> insert --> account_id -->  --> 6
2020-07-31 15:27:02 --> recurring_transaction --> insert --> amount -->  --> ‰‘œ."ì-Ìµƒ.„ÓñE
2020-07-31 15:28:16 --> recurring_transaction --> insert --> document_no -->  --> sdfg
2020-07-31 15:28:16 --> recurring_transaction --> insert --> transaction_id -->  --> 232
2020-07-31 15:28:16 --> recurring_transaction --> insert --> date_from -->  --> 2020-08-01
2020-07-31 15:28:16 --> recurring_transaction --> insert --> date_to -->  --> 2020-08-01
2020-07-31 15:28:16 --> recurring_transaction --> insert --> transaction_method_id -->  --> 3
2020-07-31 15:28:16 --> recurring_transaction --> insert --> account_id -->  --> 6
2020-07-31 15:28:16 --> recurring_transaction --> insert --> amount -->  --> ‰‘œ."ì-Ìµƒ.„ÓñE
2020-07-31 15:28:44 --> recurring_transaction --> insert --> document_no -->  --> sdfg
2020-07-31 15:28:44 --> recurring_transaction --> insert --> transaction_id -->  --> 232
2020-07-31 15:28:44 --> recurring_transaction --> insert --> date_from -->  --> 2020-08-01
2020-07-31 15:28:44 --> recurring_transaction --> insert --> date_to -->  --> 2020-08-01
2020-07-31 15:28:44 --> recurring_transaction --> insert --> transaction_method_id -->  --> 3
2020-07-31 15:28:44 --> recurring_transaction --> insert --> account_id -->  --> 6
2020-07-31 15:28:44 --> recurring_transaction --> insert --> amount -->  --> ‰‘œ."ì-Ìµƒ.„ÓñE
2020-07-31 15:29:43 --> recurring_transaction --> insert --> document_no -->  --> sdfg
2020-07-31 15:29:43 --> recurring_transaction --> insert --> transaction_id -->  --> 232
2020-07-31 15:29:43 --> recurring_transaction --> insert --> date_from -->  --> 2020-08-01
2020-07-31 15:29:43 --> recurring_transaction --> insert --> date_to -->  --> 2020-10-31
